Timestamp,Method,Endpoint,Response Time (ms),Size (bytes)
"2024-06-25 20:34:12,025",GET,/api/v1/inside_pay_service/inside_payment/account,39.60287501104176,105
"2024-06-25 20:34:12,025",GET,/api/v1/fooddeliveryservice/orders/all,40.68954102694988,42
"2024-06-25 20:34:12,026",POST,/api/v1/stationfoodservice/stationfoodstores,34.441665979102254,1858
"2024-06-25 20:34:12,026",GET,/api/v1/contactservice/contacts,41.6844590799883,459
"2024-06-25 20:34:12,026",GET,/api/v1/foodservice/orders,40.55308399256319,43
"2024-06-25 20:34:12,026",GET,/api/v1/rebookservice/welcome,36.40945802908391,31
"2024-06-25 20:34:12,026",GET,/api/v1/inside_pay_service/inside_payment/account,40.142750018276274,105
"2024-06-25 20:34:12,026",GET,/api/v1/fooddeliveryservice/orders/all,41.22283298056573,42
"2024-06-25 20:34:12,026",GET,/api/v1/orderservice/order,38.47762499935925,1354
"2024-06-25 20:34:12,026",GET,/api/v1/orderOtherService/orderOther/2013-08-09/1,39.271666086278856,233
"2024-06-25 20:34:12,026",GET,/api/v1/orderservice/order,38.77383400686085,1354
"2024-06-25 20:34:12,026",GET,/api/v1/inside_pay_service/inside_payment/account,40.089250076562166,105
"2024-06-25 20:34:12,026",GET,/api/v1/orderOtherService/orderOther,39.092332939617336,438
"2024-06-25 20:34:12,026",GET,/api/v1/orderOtherService/orderOther/2013-08-09/1,39.68212509062141,233
"2024-06-25 20:34:12,026",GET,/api/v1/orderOtherService/orderOther,39.3839169992134,438
"2024-06-25 20:34:12,026",GET,/api/v1/orderservice/order/9bb0ac3e-b305-4929-84a9-2dfac9de3471,38.527166936546564,48
"2024-06-25 20:34:12,026",GET,/api/v1/rebookservice/welcome,36.8814580142498,31
"2024-06-25 20:34:12,026",GET,/api/v1/seatservice/welcome,36.07074997853488,29
"2024-06-25 20:34:12,026",GET,/api/v1/preserveotherservice/welcome,38.02141698542982,38
"2024-06-25 20:34:12,027",GET,/api/v1/priceservice/prices,37.548791035078466,1685
"2024-06-25 20:34:12,027",GET,/api/v1/seatservice/welcome,36.09349997714162,29
"2024-06-25 20:34:12,027",GET,/api/v1/travel2service/trips,34.47254200000316,1588
"2024-06-25 20:34:12,027",GET,/api/v1/travel2service/trips,34.36812502332032,1588
"2024-06-25 20:34:12,027",GET,/api/v1/trainservice/trains,34.95733393356204,843
"2024-06-25 20:34:12,027",GET,/api/v1/priceservice/prices,37.72050002589822,1685
"2024-06-25 20:34:12,031",GET,/api/v1/adminbasicservice/adminbasic/stations,58.29716601874679,120901
"2024-06-25 20:34:12,031",GET,/api/v1/routeservice/routes,41.155083919875324,1703
"2024-06-25 20:34:12,031",GET,/api/v1/adminbasicservice/adminbasic/stations,58.158416068181396,120901
"2024-06-25 20:34:12,031",GET,/api/v1/foodservice/orders,46.17012501694262,43
"2024-06-25 20:34:12,032",GET,/api/v1/waitorderservice/orders,37.34666598029435,44
"2024-06-25 20:34:12,032",GET,/api/v1/trainfoodservice/trainfoods,39.93275004904717,1011
"2024-06-25 20:34:12,032",POST,/api/v1/routeplanservice/routePlan/cheapestRoute,42.04650002066046,38
"2024-06-25 20:34:12,032",GET,/api/v1/travelservice/train_types/%7BtripId%7D,38.30670809838921,43
"2024-06-25 20:34:12,032",GET,/api/v1/securityservice/securityConfigs,40.91504099778831,283
"2024-06-25 20:34:12,032",GET,/api/v1/trainservice/trains,39.82379205990583,843
"2024-06-25 20:34:12,032",POST,/api/v1/routeplanservice/routePlan/cheapestRoute,42.0675000641495,38
"2024-06-25 20:34:12,032",GET,/api/v1/securityservice/securityConfigs,41.247582994401455,283
"2024-06-25 20:34:12,032",GET,/api/v1/waitorderservice/orders,37.96629200223833,44
"2024-06-25 20:34:12,032",POST,/api/v1/stationfoodservice/stationfoodstores,40.767083992250264,1858
"2024-06-25 20:34:12,032",GET,/api/v1/travelservice/train_types/%7BtripId%7D,38.889999967068434,43
"2024-06-25 20:34:12,033",GET,/api/v1/adminbasicservice/adminbasic/stations,60.25462504476309,120901
"2024-06-25 20:34:12,034",POST,/api/v1/travelplanservice/travelPlan/cheapest,41.13795806188136,44
"2024-06-25 20:34:12,034",POST,/api/v1/travelplanservice/travelPlan/cheapest,40.750207961536944,44
"2024-06-25 20:34:12,034",GET,/api/v1/trainfoodservice/trainfoods,42.25887497887015,1011
"2024-06-25 20:34:12,034",GET,/api/v1/routeservice/routes,43.80158300045878,1703
"2024-06-25 20:34:12,034",PUT,/api/v1/userservice/users,40.02762492746115,243
"2024-06-25 20:34:12,037",PUT,/api/v1/userservice/users,42.914792080409825,243
